IFC Class,Category,Name,Country,Company,Standard,Overall Width,Overall Depth,Overall Height,Table Diameter,Table Width,Table Depth,Table Height,Chair-Table Gap,Chair Width,Chair Depth,Chair Height,Seat Level,Occupancy,Angled Width,Angled Depth,Aisle Width,Wall Layer Thickness,Wall Layer Materials
IfcFurnitureType,Bed,Cot Mattress,AU,,,680,1300,550,,,,,,,,,,1,,,,,
IfcFurnitureType,Bed,Single,AU,,,920,1880,550,,,,,,,,,,1,,,,,
IfcFurnitureType,Bed,Long Single,AU,,,920,2030,550,,,,,,,,,,1,,,,,
IfcFurnitureType,Bed,King Single,AU,,,1070,2030,550,,,,,,,,,,1,,,,,
IfcFurnitureType,Bed,Double,AU,,,1380,1880,550,,,,,,,,,,2,,,,,
IfcFurnitureType,Bed,Queen,AU,,,1530,2030,550,,,,,,,,,,2,,,,,
IfcFurnitureType,Bed,King,AU,,,1830,2030,550,,,,,,,,,,2,,,,,
IfcFurnitureType,Bed,Super King,AU,,,2030,2030,550,,,,,,,,,,2,,,,,
IfcFurnitureType,Wardrobe,ADG Main Bedroom Wardrobe,AU,,ADG,1800,600,2100,,,,,,,,,,,,,,,
IfcFurnitureType,Wardrobe,Neufert Single Person Wardrobe,,,,1000,600,2500,,,,,,,,,,,,,,,
IfcFurnitureType,Table,Generic Large Bedside Table,AU,,,700,500,550,,,,,,,,,,,,,,,
IfcFurnitureType,Table,Generic Medium Bedside Table,AU,,,600,450,550,,,,,,,,,,,,,,,
IfcFurnitureType,Table,Generic Small Bedside Table,AU,,,500,380,500,,,,,,,,,,,,,,,
IfcFurnitureType,Table,Generic Medium Coffee Table,AU,,,750,750,450,,,,,,,,,,,,,,,
IfcFurnitureType,Chair,Neufert Retail Dining Chair,,,,600,400,900,,,,,,400,400,900,450,1,,,,,
IfcFurnitureType,Chair,Neufert Retail Bar Stool,,,,300,300,800,,,,,,300,300,800,800,1,,,,,
IfcFurnitureType,Dining,Neufert Retail 4-Seater Square Table,,,,1750,1750,900,,850,850,780,50,400,400,900,450,4,,,,,
IfcFurnitureType,Dining,Neufert Residential 4-Seater Rectangular Table,,,,1300,2000,900,,1300,800,780,50,450,450,900,450,4,,,,,
IfcFurnitureType,Dining,Neufert Retail 2-Seater Rectangular Table,,,,625,1750,900,,625,800,780,50,400,400,900,450,2,,,,,
IfcFurnitureType,Dining,Neufert Retail 4-Seater Rectangular Table,,,,1250,1750,900,,1250,800,780,50,400,400,900,450,4,,,,,
IfcFurnitureType,Dining,Neufert Retail 6-Seater Rectangular Table,,,,1875,1750,900,,1875,800,780,50,400,400,900,450,6,,,,,
IfcFurnitureType,Dining,Neufert Retail 8-Seater Rectangular Table,,,,2500,1750,900,,2500,800,780,50,400,400,900,450,8,,,,,
IfcFurnitureType,Dining,Neufert Retail 12-Seater Rectangular Table,,,,3750,1750,900,,3750,800,780,50,400,400,900,450,12,,,,,
IfcFurnitureType,Dining,Neufert Retail 2-Seater Circular Table,,,,1500,1500,900,600,,,,,,,,,2,,,,,
IfcFurnitureType,Dining,Neufert Retail 3-Seater Circular Table,,,,1700,1700,900,800,,,,,,,,,3,,,,,
IfcFurnitureType,Dining,Neufert Retail 4-Seater Circular Table,,,,1800,1800,900,900,,,,,,,,,4,,,,,
IfcFurnitureType,Dining,Neufert Retail 5-Seater Circular Table,,,,2000,2000,900,1100,,,,,,,,,5,,,,,
IfcFurnitureType,Dining,Neufert Retail 6-Seater Circular Table,,,,2150,2150,900,1250,,,,,,,,,6,,,,,
IfcFurnitureType,Dining,Neufert Retail 8-Seater Circular Table,,,,2300,2300,900,1400,,,,,,,,,8,,,,,
